"actor_id","name","last_updated"
1,"David Attenborough","2017-12-20 11:24:08.953526"
2,"Sigourney Weaver","2017-12-20 11:24:12.492763"
3,"Bryan Cranston","2017-12-20 11:24:17.96618"
4,"Anna Gunn","2017-12-20 11:24:17.96618"
5,"Aaron Paul","2017-12-20 11:24:17.96618"
6,"Dean Norris","2017-12-20 11:24:17.96618"
7,"Betsy Brandt","2017-12-20 11:24:17.96618"
8,"RJ Mitte","2017-12-20 11:24:17.96618"
9,"Bob Odenkirk","2017-12-20 11:24:17.96618"
10,"Steven Michael Quezada","2017-12-20 11:24:17.96618"
11,"Jonathan Banks","2017-12-20 11:24:17.96618"
12,"Giancarlo Esposito","2017-12-20 11:24:17.96618"
13,"Chris Parnell","2017-12-20 11:24:35.007375"
14,"Spencer Grammer","2017-12-20 11:24:35.007375"
15,"Sarah Chalke","2017-12-20 11:24:35.007375"
16,"Justin Roiland","2017-12-20 11:24:35.007375"
17,"Kari Wahlgren","2017-12-20 11:24:35.007375"
18,"Tom Kenny","2017-12-20 11:24:35.007375"
19,"Ryan Ridley","2017-12-20 11:24:35.007375"
20,"Maurice LaMarche","2017-12-20 11:24:35.007375"
21,"Carl Sagan","2017-12-20 11:24:49.24347"
22,"James Gandolfini","2017-12-20 11:24:53.604299"
23,"Lorraine Bracco","2017-12-20 11:24:53.604299"
24,"Edie Falco","2017-12-20 11:24:53.604299"
25,"Michael Imperioli","2017-12-20 11:24:53.604299"
26,"Dominic Chianese","2017-12-20 11:24:53.604299"
27,"Steven Van Zandt","2017-12-20 11:24:53.604299"
28,"Tony Sirico","2017-12-20 11:24:53.604299"
29,"Robert Iler","2017-12-20 11:24:53.604299"
30,"Jamie-Lynn Sigler","2017-12-20 11:24:53.604299"
31,"Aida Turturro","2017-12-20 11:24:53.604299"
32,"Drea de Matteo","2017-12-20 11:24:53.604299"
33,"Steve Schirripa","2017-12-20 11:24:53.604299"
34,"Dan Grimaldi","2017-12-20 11:24:53.604299"
35,"Joseph R. Gannascoli","2017-12-20 11:24:53.604299"
36,"John Ventimiglia","2017-12-20 11:24:53.604299"
37,"Sharon Angela","2017-12-20 11:24:53.604299"
38,"Benedict Cumberbatch","2017-12-20 11:25:16.519092"
39,"Martin Freeman","2017-12-20 11:25:16.519092"
40,"Una Stubbs","2017-12-20 11:25:16.519092"
41,"Rupert Graves","2017-12-20 11:25:16.519092"
42,"Louise Brealey","2017-12-20 11:25:16.519092"
43,"Mark Gatiss","2017-12-20 11:25:16.519092"
44,"Andrew Scott","2017-12-20 11:25:16.519092"
45,"Amanda Abbington","2017-12-20 11:25:16.519092"
46,"Jonathan Aris","2017-12-20 11:25:16.519092"
47,"Scott Grimes","2017-12-20 11:42:04.68891"
48,"Damian Lewis","2017-12-20 11:42:04.68891"
49,"Ron Livingston","2017-12-20 11:42:04.68891"
50,"Shane Taylor","2017-12-20 11:42:04.68891"
51,"Donnie Wahlberg","2017-12-20 11:42:04.68891"
52,"Peter Youngblood Hills","2017-12-20 11:42:04.68891"
53,"Matthew Leitch","2017-12-20 11:42:04.68891"
54,"Rod Strohl","2017-12-20 11:42:04.68891"
55,"Nicholas Aaron","2017-12-20 11:42:04.68891"
56,"Philip Barantini","2017-12-20 11:42:04.68891"
57,"Michael Cudlitz","2017-12-20 11:42:04.68891"
58,"Dexter Fletcher","2017-12-20 11:42:04.68891"
59,"Rick Gomez","2017-12-20 11:42:04.68891"
60,"James Madio","2017-12-20 11:42:04.68891"
61,"Ross McCall","2017-12-20 11:42:04.68891"
62,"Doug Allen","2017-12-20 11:42:04.68891"
63,"George Calil","2017-12-20 11:42:04.68891"
64,"Nolan Hemmings","2017-12-20 11:42:04.68891"
65,"Robin Laing","2017-12-20 11:42:04.68891"
66,"Neal McDonough","2017-12-20 11:42:04.68891"
67,"Rick Warden","2017-12-20 11:42:04.68891"
68,"Dale Dye","2017-12-20 11:42:04.68891"
69,"Michael Fassbender","2017-12-20 11:42:04.68891"
70,"Frank John Hughes","2017-12-20 11:42:04.68891"
71,"Tim Matthews","2017-12-20 11:42:04.68891"
72,"Rene L. Moreno","2017-12-20 11:42:04.68891"
73,"Douglas Spain","2017-12-20 11:42:04.68891"
74,"Richard Speight Jr.","2017-12-20 11:42:04.68891"
75,"Kirk Acevedo","2017-12-20 11:42:04.68891"
76,"Eion Bailey","2017-12-20 11:42:04.68891"
77,"Craig Heaney","2017-12-20 11:42:04.68891"
78,"Peter McCabe","2017-12-20 11:42:04.68891"
79,"Matthew Settle","2017-12-20 11:42:04.68891"
80,"Ben Caplan","2017-12-20 11:42:04.68891"
81,"Mark Huberman","2017-12-20 11:42:04.68891"
82,"Phil McKee","2017-12-20 11:42:04.68891"
83,"Dominic West","2017-12-20 11:42:13.066059"
84,"John Doman","2017-12-20 11:42:13.066059"
85,"Deirdre Lovejoy","2017-12-20 11:42:13.066059"
86,"Wendell Pierce","2017-12-20 11:42:13.066059"
87,"Lance Reddick","2017-12-20 11:42:13.066059"
88,"Sonja Sohn","2017-12-20 11:42:13.066059"
89,"Seth Gilliam","2017-12-20 11:42:13.066059"
90,"Domenick Lombardozzi","2017-12-20 11:42:13.066059"
91,"Clarke Peters","2017-12-20 11:42:13.066059"
92,"Andre Royo","2017-12-20 11:42:13.066059"
93,"Michael Kenneth Williams","2017-12-20 11:42:13.066059"
94,"Jim True-Frost","2017-12-20 11:42:13.066059"
95,"Frankie Faison","2017-12-20 11:42:13.066059"
96,"Corey Parker Robinson","2017-12-20 11:42:13.066059"
97,"Delaney Williams","2017-12-20 11:42:13.066059"
98,"J.D. Williams","2017-12-20 11:42:13.066059"
99,"Wood Harris","2017-12-20 11:42:13.066059"
100,"Idris Elba","2017-12-20 11:42:13.066059"
101,"Aidan Gillen","2017-12-20 11:42:13.066059"
102,"Jamie Hector","2017-12-20 11:42:13.066059"
103,"Gbenga Akinnagbe","2017-12-20 11:42:13.066059"
104,"Robert Wisdom","2017-12-20 11:42:13.066059"
105,"Anwan Glover","2017-12-20 11:42:13.066059"
106,"Felicia Pearson","2017-12-20 11:42:13.066059"
107,"Chad L. Coleman","2017-12-20 11:42:13.066059"
108,"Tray Chaney","2017-12-20 11:42:13.066059"
109,"Michael Kostroff","2017-12-20 11:42:13.066059"
110,"Isiah Whitlock Jr.","2017-12-20 11:42:13.066059"
111,"Robert F. Chew","2017-12-20 11:42:13.066059"
112,"Michael Salconi","2017-12-20 11:42:13.066059"
113,"Laurence Olivier","2017-12-20 11:42:39.235433"
114,"Sam Waterston","2017-12-20 11:42:55.088564"
115,"Julie Harris","2017-12-20 11:42:55.088564"
116,"Jason Robards","2017-12-20 11:42:55.088564"
117,"Morgan Freeman","2017-12-20 11:42:55.088564"
118,"Paul Roebling","2017-12-20 11:42:55.088564"
119,"Garrison Keillor","2017-12-20 11:42:55.088564"
120,"George Black","2017-12-20 11:42:55.088564"
121,"David McCullough","2017-12-20 11:42:55.088564"
