"content_id","title","description","total_seasons","imdb_score","release_dates","play_time","content_rating","total_episodes","content_type","imdb_link","last_updated","imdb_score_votes","rating_details","languages"
1,"Planet Earth II","David Attenborough returns in this breathtaking documentary showcasing life on Planet Earth.",1,"9.6","2016","6h",3,1,3,"http://www.imdb.com/title/tt5491994/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_1","2017-12-20 11:24:08.991277",42150,"{'total_votes': 42150, 'females': {'all_votes': {'total_votes': 3281, 'rating': 9.7}, 'aged_18_29': {'total_votes': 1807, 'rating': 9.7}, 'aged_under_18': {'total_votes': 24, 'rating': 8.8}, 'aged_30_44': {'total_votes': 868, 'rating': 9.6}, 'aged_over_45': {'total_votes': 222, 'rating': 9.5}}, 'votes_per_ratings': {'3': 59, '2': 89, '8': 2163, '4': 68, '5': 123, '1': 2184, '6': 198, '7': 573, '10': 29740, '9': 6953}, 'all_genders': {'all_votes': {'total_votes': 42150, 'rating': 9.6}, 'aged_18_29': {'total_votes': 16349, 'rating': 9.7}, 'aged_under_18': {'total_votes': 315, 'rating': 9.2}, 'aged_30_44': {'total_votes': 9193, 'rating': 9.6}, 'aged_over_45': {'total_votes': 1647, 'rating': 9.4}}, 'males': {'all_votes': {'total_votes': 26997, 'rating': 9.6}, 'aged_18_29': {'total_votes': 14364, 'rating': 9.7}, 'aged_under_18': {'total_votes': 289, 'rating': 9.2}, 'aged_30_44': {'total_votes': 8223, 'rating': 9.5}, 'aged_over_45': {'total_votes': 1400, 'rating': 9.3}}, 'rating_page_link': 'http://www.imdb.com/title/tt5491994/ratings?ref_=tt_ov_rt'}","['English']"
2,"Planet Earth","Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",1,"9.4","2006","8h 53min",3,1,3,"http://www.imdb.com/title/tt0795176/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_3","2017-12-20 11:24:12.532625",126842,"{'total_votes': 126842, 'females': {'all_votes': {'total_votes': 12414, 'rating': 9.5}, 'aged_18_29': {'total_votes': 6338, 'rating': 9.5}, 'aged_under_18': {'total_votes': 34, 'rating': 8.8}, 'aged_30_44': {'total_votes': 4463, 'rating': 9.6}, 'aged_over_45': {'total_votes': 1012, 'rating': 9.4}}, 'votes_per_ratings': {'3': 325, '2': 414, '8': 8531, '4': 297, '5': 634, '1': 12075, '6': 956, '7': 2409, '10': 77017, '9': 24184}, 'all_genders': {'all_votes': {'total_votes': 126842, 'rating': 9.4}, 'aged_18_29': {'total_votes': 49488, 'rating': 9.5}, 'aged_under_18': {'total_votes': 324, 'rating': 9.0}, 'aged_30_44': {'total_votes': 40190, 'rating': 9.5}, 'aged_over_45': {'total_votes': 6765, 'rating': 9.3}}, 'males': {'all_votes': {'total_votes': 87969, 'rating': 9.5}, 'aged_18_29': {'total_votes': 42745, 'rating': 9.5}, 'aged_under_18': {'total_votes': 288, 'rating': 9.1}, 'aged_30_44': {'total_votes': 35326, 'rating': 9.5}, 'aged_over_45': {'total_votes': 5650, 'rating': 9.3}}, 'rating_page_link': 'http://www.imdb.com/title/tt0795176/ratings?ref_=tt_ov_rt'}","['English']"
3,"Breaking Bad","A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.",5,"9.5","2008–2013","49min",6,62,1,"http://www.imdb.com/title/tt0903747/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_5","2017-12-20 11:24:18.166874",1044059,"{'total_votes': 1044059, 'females': {'all_votes': {'total_votes': 124208, 'rating': 9.2}, 'aged_18_29': {'total_votes': 61370, 'rating': 9.3}, 'aged_under_18': {'total_votes': 506, 'rating': 9.3}, 'aged_30_44': {'total_votes': 40645, 'rating': 9.2}, 'aged_over_45': {'total_votes': 9704, 'rating': 9.2}}, 'votes_per_ratings': {'3': 2481, '2': 2263, '8': 72996, '4': 3152, '5': 6131, '1': 18947, '6': 10692, '7': 27236, '10': 703273, '9': 196888}, 'all_genders': {'all_votes': {'total_votes': 1044059, 'rating': 9.5}, 'aged_18_29': {'total_votes': 390671, 'rating': 9.5}, 'aged_under_18': {'total_votes': 3781, 'rating': 9.6}, 'aged_30_44': {'total_votes': 267234, 'rating': 9.4}, 'aged_over_45': {'total_votes': 49477, 'rating': 9.3}}, 'males': {'all_votes': {'total_votes': 658270, 'rating': 9.5}, 'aged_18_29': {'total_votes': 325821, 'rating': 9.6}, 'aged_under_18': {'total_votes': 3256, 'rating': 9.7}, 'aged_30_44': {'total_votes': 222783, 'rating': 9.4}, 'aged_over_45': {'total_votes': 38840, 'rating': 9.3}}, 'rating_page_link': 'http://www.imdb.com/title/tt0903747/ratings?ref_=tt_ov_rt'}","['English', 'Spanish']"
4,"Rick and Morty","An animated series that follows the exploits of a super scientist and his not-so-bright grandson.",4,"9.3","2013–","23min",5,32,1,"http://www.imdb.com/title/tt2861424/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_7","2017-12-20 11:24:35.204491",182713,"{'total_votes': 182713, 'females': {'all_votes': {'total_votes': 15590, 'rating': 9.2}, 'aged_18_29': {'total_votes': 10120, 'rating': 9.2}, 'aged_under_18': {'total_votes': 255, 'rating': 9.3}, 'aged_30_44': {'total_votes': 3093, 'rating': 8.9}, 'aged_over_45': {'total_votes': 496, 'rating': 8.2}}, 'votes_per_ratings': {'3': 435, '2': 455, '8': 15207, '4': 429, '5': 840, '1': 3936, '6': 1511, '7': 4744, '10': 114277, '9': 40879}, 'all_genders': {'all_votes': {'total_votes': 182713, 'rating': 9.3}, 'aged_18_29': {'total_votes': 77690, 'rating': 9.4}, 'aged_under_18': {'total_votes': 2123, 'rating': 9.4}, 'aged_30_44': {'total_votes': 32454, 'rating': 9.2}, 'aged_over_45': {'total_votes': 4166, 'rating': 8.8}}, 'males': {'all_votes': {'total_votes': 113273, 'rating': 9.4}, 'aged_18_29': {'total_votes': 66681, 'rating': 9.4}, 'aged_under_18': {'total_votes': 1855, 'rating': 9.4}, 'aged_30_44': {'total_votes': 28899, 'rating': 9.2}, 'aged_over_45': {'total_votes': 3558, 'rating': 8.8}}, 'rating_page_link': 'http://www.imdb.com/title/tt2861424/ratings?ref_=tt_ov_rt'}","['English']"
5,"Cosmos","Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.",1,"9.3","1980","1h",4,1,3,"http://www.imdb.com/title/tt0081846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_9","2017-12-20 11:24:49.290263",26686,"{'total_votes': 26686, 'females': {'all_votes': {'total_votes': 1949, 'rating': 9.3}, 'aged_18_29': {'total_votes': 705, 'rating': 9.4}, 'aged_under_18': {'total_votes': 7, 'rating': 8.7}, 'aged_30_44': {'total_votes': 727, 'rating': 9.3}, 'aged_over_45': {'total_votes': 395, 'rating': 9.1}}, 'votes_per_ratings': {'3': 96, '2': 113, '8': 1784, '4': 103, '5': 189, '1': 2322, '6': 275, '7': 698, '10': 16710, '9': 4396}, 'all_genders': {'all_votes': {'total_votes': 26686, 'rating': 9.3}, 'aged_18_29': {'total_votes': 7584, 'rating': 9.2}, 'aged_under_18': {'total_votes': 63, 'rating': 8.0}, 'aged_30_44': {'total_votes': 8614, 'rating': 9.4}, 'aged_over_45': {'total_votes': 3309, 'rating': 9.2}}, 'males': {'all_votes': {'total_votes': 18317, 'rating': 9.3}, 'aged_18_29': {'total_votes': 6808, 'rating': 9.2}, 'aged_under_18': {'total_votes': 55, 'rating': 8.0}, 'aged_30_44': {'total_votes': 7789, 'rating': 9.4}, 'aged_over_45': {'total_votes': 2858, 'rating': 9.2}}, 'rating_page_link': 'http://www.imdb.com/title/tt0081846/ratings?ref_=tt_ov_rt'}","['English']"
6,"The Sopranos","New Jersey mob boss, Tony Soprano, deals with personal and professional issues in his home and business life, which affects his mental state and ends up seeking professional psychiatric counseling.",6,"9.2","1999–2007","55min",6,86,1,"http://www.imdb.com/title/tt0141842/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_11","2017-12-20 11:24:53.750484",219750,"{'total_votes': 219750, 'females': {'all_votes': {'total_votes': 21303, 'rating': 8.8}, 'aged_18_29': {'total_votes': 6477, 'rating': 8.9}, 'aged_under_18': {'total_votes': 16, 'rating': 8.5}, 'aged_30_44': {'total_votes': 10095, 'rating': 8.8}, 'aged_over_45': {'total_votes': 3484, 'rating': 8.9}}, 'votes_per_ratings': {'3': 911, '2': 910, '8': 22845, '4': 1021, '5': 1747, '1': 8853, '6': 3332, '7': 8580, '10': 119972, '9': 51579}, 'all_genders': {'all_votes': {'total_votes': 219750, 'rating': 9.2}, 'aged_18_29': {'total_votes': 61746, 'rating': 9.3}, 'aged_under_18': {'total_votes': 190, 'rating': 9.1}, 'aged_30_44': {'total_votes': 86401, 'rating': 9.2}, 'aged_over_45': {'total_votes': 19594, 'rating': 9.0}}, 'males': {'all_votes': {'total_votes': 154330, 'rating': 9.2}, 'aged_18_29': {'total_votes': 54754, 'rating': 9.3}, 'aged_under_18': {'total_votes': 173, 'rating': 9.1}, 'aged_30_44': {'total_votes': 75359, 'rating': 9.2}, 'aged_over_45': {'total_votes': 15796, 'rating': 9.0}}, 'rating_page_link': 'http://www.imdb.com/title/tt0141842/ratings?ref_=tt_ov_rt'}","['English', 'Italian', 'Russian']"
7,"Sherlock","A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.",4,"9.2","2010–","1h 28min",5,15,1,"http://www.imdb.com/title/tt1475582/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_13","2017-12-20 11:25:16.667896",616041,"{'total_votes': 616041, 'females': {'all_votes': {'total_votes': 124046, 'rating': 9.3}, 'aged_18_29': {'total_votes': 68356, 'rating': 9.4}, 'aged_under_18': {'total_votes': 1046, 'rating': 9.6}, 'aged_30_44': {'total_votes': 34934, 'rating': 9.2}, 'aged_over_45': {'total_votes': 8926, 'rating': 9.2}}, 'votes_per_ratings': {'3': 1404, '2': 1232, '8': 62896, '4': 2034, '5': 4052, '1': 8963, '6': 8140, '7': 22775, '10': 347562, '9': 156983}, 'all_genders': {'all_votes': {'total_votes': 616041, 'rating': 9.2}, 'aged_18_29': {'total_votes': 249637, 'rating': 9.3}, 'aged_under_18': {'total_votes': 3221, 'rating': 9.4}, 'aged_30_44': {'total_votes': 141631, 'rating': 9.0}, 'aged_over_45': {'total_votes': 30850, 'rating': 8.9}}, 'males': {'all_votes': {'total_votes': 336911, 'rating': 9.1}, 'aged_18_29': {'total_votes': 178784, 'rating': 9.3}, 'aged_under_18': {'total_votes': 2143, 'rating': 9.4}, 'aged_30_44': {'total_votes': 104581, 'rating': 9.0}, 'aged_over_45': {'total_votes': 21350, 'rating': 8.8}}, 'rating_page_link': 'http://www.imdb.com/title/tt1475582/ratings?ref_=tt_ov_rt'}","['English']"
8,"Band of Brothers","The story of Easy Company of the U.S. Army 101st Airborne Division, and their mission in World War II Europe, from Operation Overlord, through V-J Day.",1,"9.5","TV Mini-Series (2001","9h 54min",6,10,1,"http://www.imdb.com/title/tt0185906/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_2","2017-12-20 11:42:04.880547",275736,"{'total_votes': 275736, 'females': {'all_votes': {'total_votes': 19489, 'rating': 9.4}, 'aged_18_29': {'total_votes': 7534, 'rating': 9.5}, 'aged_under_18': {'total_votes': 37, 'rating': 9.3}, 'aged_30_44': {'total_votes': 8216, 'rating': 9.4}, 'aged_over_45': {'total_votes': 2528, 'rating': 9.4}}, 'votes_per_ratings': {'1': 4844, '5': 1091, '8': 19273, '4': 520, '2': 444, '6': 1975, '7': 5732, '3': 424, '10': 189252, '9': 52181}, 'all_genders': {'all_votes': {'total_votes': 275736, 'rating': 9.5}, 'aged_18_29': {'total_votes': 84917, 'rating': 9.6}, 'aged_under_18': {'total_votes': 516, 'rating': 9.2}, 'aged_30_44': {'total_votes': 99490, 'rating': 9.5}, 'aged_over_45': {'total_votes': 22284, 'rating': 9.4}}, 'males': {'all_votes': {'total_votes': 198015, 'rating': 9.5}, 'aged_18_29': {'total_votes': 76758, 'rating': 9.6}, 'aged_under_18': {'total_votes': 475, 'rating': 9.2}, 'aged_30_44': {'total_votes': 90266, 'rating': 9.5}, 'aged_over_45': {'total_votes': 19405, 'rating': 9.4}}, 'rating_page_link': 'http://www.imdb.com/title/tt0185906/ratings?ref_=tt_ov_rt'}","['English', 'Dutch', 'French', 'German', 'Lithuanian']"
9,"The Wire","Baltimore drug scene, seen through the eyes of drug dealers and law enforcement.",5,"9.3","2002–2008","59min",6,60,1,"http://www.imdb.com/title/tt0306414/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_6","2017-12-20 11:42:13.237367",218080,"{'total_votes': 218080, 'females': {'all_votes': {'total_votes': 18944, 'rating': 9.0}, 'aged_18_29': {'total_votes': 5581, 'rating': 8.9}, 'aged_under_18': {'total_votes': 14, 'rating': 7.7}, 'aged_30_44': {'total_votes': 9288, 'rating': 9.0}, 'aged_over_45': {'total_votes': 3061, 'rating': 9.0}}, 'votes_per_ratings': {'1': 11808, '5': 1729, '8': 16611, '4': 956, '2': 883, '6': 2832, '7': 6352, '3': 880, '10': 135375, '9': 40654}, 'all_genders': {'all_votes': {'total_votes': 218080, 'rating': 9.3}, 'aged_18_29': {'total_votes': 61786, 'rating': 9.4}, 'aged_under_18': {'total_votes': 157, 'rating': 8.8}, 'aged_30_44': {'total_votes': 87772, 'rating': 9.4}, 'aged_over_45': {'total_votes': 17634, 'rating': 9.1}}, 'males': {'all_votes': {'total_votes': 155260, 'rating': 9.4}, 'aged_18_29': {'total_votes': 55696, 'rating': 9.4}, 'aged_under_18': {'total_votes': 143, 'rating': 8.8}, 'aged_30_44': {'total_votes': 77433, 'rating': 9.4}, 'aged_over_45': {'total_votes': 14251, 'rating': 9.2}}, 'rating_page_link': 'http://www.imdb.com/title/tt0306414/ratings?ref_=tt_ov_rt'}","['English', 'Greek', 'Mandarin', 'Spanish']"
10,"The World at War","A series of documentaries about World War II.",1,"9.2","TV Series (1973–1976","52min",4,1,3,"http://www.imdb.com/title/tt0071075/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042182&pf_rd_r=0J30GWKBJCBE25N9PV5E&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=toptv&ref_=chttvtp_tt_10","2017-12-20 11:42:39.273095",15023,"{'total_votes': 15023, 'females': {'all_votes': {'total_votes': 714, 'rating': 8.7}, 'aged_18_29': {'total_votes': 201, 'rating': 8.7}, 'aged_under_18': {'total_votes': 2, 'rating': 6.5}, 'aged_30_44': {'total_votes': 254, 'rating': 8.6}, 'aged_over_45': {'total_votes': 231, 'rating': 9.0}}, 'votes_per_ratings': {'1': 1119, '5': 98, '8': 1310, '4': 48, '2': 69, '6': 192, '7': 478, '3': 40, '10': 8188, '9': 3481}, 'all_genders': {'all_votes': {'total_votes': 15023, 'rating': 9.2}, 'aged_18_29': {'total_votes': 3338, 'rating': 9.2}, 'aged_under_18': {'total_votes': 26, 'rating': 6.7}, 'aged_30_44': {'total_votes': 4806, 'rating': 9.3}, 'aged_over_45': {'total_votes': 3072, 'rating': 9.3}}, 'males': {'all_votes': {'total_votes': 10955, 'rating': 9.3}, 'aged_18_29': {'total_votes': 3114, 'rating': 9.2}, 'aged_under_18': {'total_votes': 23, 'rating': 6.6}, 'aged_30_44': {'total_votes': 4514, 'rating': 9.3}, 'aged_over_45': {'total_votes': 2793, 'rating': 9.3}}, 'rating_page_link': 'http://www.imdb.com/title/tt0071075/ratings?ref_=tt_ov_rt'}","['English', 'German', 'French', 'Japanese']"
